Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
max Ny,24.854,7.747,71.8,-95.3,0.0909417739390175
min My,24.854,7.747,65.9,-114.9,0.105882596487643
max My,24.854,7.747,-6.2,137.6,0.111634421918265
max Ny,24.854,8.159,117.5,-52.1,0.0645257630630003
min My,24.854,8.159,111.8,-67.5,0.0757995212924104
max My,24.854,8.159,15.2,111.2,0.0937725037771898
max Ny,25.546,8.159,197,0,0
min My,25.546,8.159,181.8,-43.5,0.0707824349624025
max My,25.546,8.159,80.9,118.8,0.111796035875238
max Ny,25.546,9.141,148.9,13.5,0
min My,25.546,9.141,106,-5.4,0
max My,25.546,9.141,66.3,47.3,0.0508330341246504
max Ny,24.854,9.141,134,11.8,0
min My,24.854,9.141,90.2,-10.9,0
max My,24.854,9.141,43.5,44.9,0.0446250788854789
max Ny,24.854,9.627,2.6,-10.6,0.00914302861413225
min My,24.854,9.627,-241.8,-49.9,0.00793126986927261
max My,24.854,9.627,-5.6,-8.3,0.00583771953849968
max Ny,25.546,9.627,33,-8.1,0.0130025559131454
min My,25.546,9.627,-201.3,-36.1,0.00382633960109804
max My,25.546,9.627,22,-0.4,0
max Ny,25.546,9.973,36.7,-1.6,0
min My,25.546,9.973,-186.5,-21.8,0
max My,25.546,9.973,27.5,1.1,0
max Ny,24.854,9.973,-9,-2.7,0.000844701924617305
min My,24.854,9.973,-228.1,-19.7,0
max My,24.854,9.973,-35.6,4.2,0
max Ny,24.854,10.185,4,14.2,0.012340337338916
min My,24.854,10.185,-46.8,-15.2,0.00523431595224685
max My,24.854,10.185,-192.2,31.4,0.00234960828213349
max Ny,25.546,10.185,-7.8,0,0
min My,25.546,10.185,-225.2,-14.5,0
max My,25.546,10.185,-17.3,2.2,2.39304410758689E-05
max Ny,25.546,10.415,-12.8,-7.1,0.00371181547234315
min My,25.546,10.415,-227.6,-18.4,0
max My,25.546,10.415,-20.4,-5.6,0.00154885322283255
max Ny,24.854,10.415,18.1,-7.8,0.00975971580235764
min My,24.854,10.415,-48.7,-21.1,0.00946139307779281
max My,24.854,10.415,-174.2,-4.4,0
max Ny,24.854,10.585,-32.7,-5.5,0.000462855635947174
min My,24.854,10.585,-282.6,-21,0
max My,24.854,10.585,-52.4,-4.2,0
max Ny,25.546,10.585,-53.1,-4.6,0
min My,25.546,10.585,-389,-23.7,0
max My,25.546,10.585,-60.4,-4.1,0
max Ny,25.546,10.815,-71.6,-1.5,0
min My,25.546,10.815,-403.7,-21,0
max My,25.546,10.815,-81.7,-0.8,0
max Ny,24.854,10.815,-40.1,7.1,0.000720699495193845
min My,24.854,10.815,-286.1,-25,0
max My,24.854,10.815,-62.1,16.2,0.00413808449232354
max Ny,26.054,7.603,240.3,32.4,0.076101598290827
min My,26.054,7.603,210.9,-46.7,0.079290997057375
max My,26.054,7.603,138.7,180.4,0.186943545922573
max Ny,26.746,7.603,62.2,36.8,0.0415628414287084
min My,26.746,7.603,20.6,-54.2,0.0480557019971702
max My,26.746,7.603,-2.3,164.8,0.134599528250217
max Ny,26.746,7.747,62.3,38.4,0.0428735909999557
min My,26.746,7.747,18.6,-45.2,0.0403310091140518
max My,26.746,7.747,-0.2,156.9,0.128496249480713
max Ny,26.054,7.747,227.2,24.2,0
min My,26.054,7.747,201.9,-45.2,0.0762745779998172
max My,26.054,7.747,119.6,161.7,0.155851715419495
max Ny,26.054,8.159,162.5,50.6,0.0722778599525968
min My,26.054,8.159,114,-39.2,0.0536048254820641
max My,26.054,8.159,94.1,124.2,0.118616427638523
max Ny,26.746,8.159,92.3,50,0.0579625441934335
min My,26.746,8.159,57.1,-21.9,0.0286376787197519
max My,26.746,8.159,31.8,127.4,0.10998694585989
max Ny,26.746,9.141,84.1,-7,0
min My,26.746,9.141,53.6,-19.9,0.0263619349206564
max My,26.746,9.141,38.5,44.2,0.0431324025715787
max Ny,26.054,9.141,95.7,20.3,0.0353195201075891
min My,26.054,9.141,40,-9.6,0.0155956192250244
max My,26.054,9.141,54.3,45.8,0.0473640122271876
max Ny,26.054,9.627,47.3,-9,0.0167045209612143
min My,26.054,9.627,-25.8,-25,0.016105526578005
max My,26.054,9.627,16.9,8.6,0.0101667804222449
max Ny,26.746,9.627,112,-1.1,0
min My,26.746,9.627,1.7,-22,0.0183212553032089
max My,26.746,9.627,80.2,3.9,0
max Ny,26.746,9.973,41.4,-1.3,0
min My,26.746,9.973,-109.8,-11.7,0
max My,26.746,9.973,23.3,2.5,0
max Ny,26.054,9.973,40.5,-4,0
min My,26.054,9.973,-22.6,-13.1,0.00700334819631911
max My,26.054,9.973,-1.3,10.4,0.00829234886246126
max Ny,26.054,10.185,60.1,-1,0
min My,26.054,10.185,17.3,-10.8,0.0120159910763907
max My,26.054,10.185,19.2,6.3,0.00879110018706721
max Ny,26.746,10.185,22.1,-8.7,0.0112613625301367
min My,26.746,10.185,-107.6,-18.3,0.00160700425781977
max My,26.746,10.185,-9.6,-1,0
max Ny,26.746,10.415,35.8,-1.7,0
min My,26.746,10.415,-136.4,-10.1,0
max My,26.746,10.415,0.3,1.2,0.00103606765414084
max Ny,26.054,10.415,8.8,-10,0.00977494795525915
min My,26.054,10.415,-24.7,-15.3,0.00844012599928494
max My,26.054,10.415,-58.3,-4,0
max Ny,26.054,10.585,95.1,1.7,0
min My,26.054,10.585,-17.1,-4.5,0.00116582044237447
max My,26.054,10.585,85.4,4,0
max Ny,26.746,10.585,18.2,-2.9,0.00603712694611677
min My,26.746,10.585,-163.3,-10.3,0
max My,26.746,10.585,-21.9,-0.6,0
max Ny,26.746,10.815,24.2,-4.1,0.00819195056451939
