    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-1,79734670078940E+001	-4,14982007559924E+001	4,01085665993626E+001	-1,10319410664147E+002	-1,10407098752452E+002	7,74527807091294E+001	-1,06118351982778E+002	-1,68315206385771E+002	0,00000000000000E+000
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-6,02783153457470E+001	-6,02783153457470E+001	3,93919899338932E+001	 1,18000597034517E+002	-9,89746149603381E+001	1,18280385471828E+002	-7,37331061774901E+001	-7,37331061774901E+001	1,60776974325916E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-5,32688646446172E+001	-5,32688646446172E+001	3,81204325987477E+001	 1,24746878743931E+002	-9,58139226326717E+001	1,24887820095806E+002	-2,79258327314848E+001	-2,79258327314848E+001	1,57060679655425E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-4,29476147780562E+001	-4,29476147780562E+001	3,66387088501262E+001	 1,23928006391100E+002	-8,57014427844481E+001	1,24069917909684E+002	 1,88369672302405E+001	 0,00000000000000E+000	1,59044331286611E+002
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-3,02743179806752E+001	-4,01641015223970E+001	3,49735305653735E+001	 1,17614389786318E+002	-8,11723848645340E+001	1,17786113560388E+002	 6,43551791500253E+001	 0,00000000000000E+000	1,62407431892300E+002
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-1,62087264870856E+001	-4,15058276113441E+001	3,97136455919448E+001	 1,07876438739883E+002	-7,76658174548659E+001	1,07995841694840E+002	 1,06664890301444E+002	 0,00000000000000E+000	1,66262183883502E+002
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-1,72737354441881E+001	-4,15120865427802E+001	4,09017038929366E+001	-1,08876600250282E+002	-1,08898270164973E+002	7,85398776498060E+001	-1,06118351982778E+002	-1,68315206385771E+002	0,00000000000000E+000
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-1,11855299470253E+001	-4,20321753500855E+001	4,55939766530369E+001	-1,03196860869521E+002	-1,03233592651134E+002	7,92334119574796E+001	-1,20641490119931E+002	-1,69463992822479E+002	0,00000000000000E+000
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-6,16696300101575E+000	-4,25384346962587E+001	4,94429544003687E+001	-9,97099113919030E+001	-9,97700527749494E+001	8,18123414910688E+001	-1,34616818007613E+002	-1,70342895977704E+002	0,00000000000000E+000
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-1,08267745725080E+000	-4,30305894891809E+001	5,25703970441038E+001	-9,59971256519683E+001	-9,60846412653812E+001	8,20272438596854E+001	-1,48057707533952E+002	-1,70016652759444E+002	0,00000000000000E+000
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	 5,20268383317840E+000	-4,35083646367335E+001	5,67733040469499E+001	-8,96398774842565E+001	-8,97543488513913E+001	8,50248742117465E+001	-1,60876007637262E+002	-1,74341870621914E+002	0,00000000000000E+000
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-1,60679208084859E+001	-4,15192134043729E+001	4,04418044635754E+001	 1,07593839572748E+002	-7,85081729144841E+001	1,07686535322118E+002	 1,06664890301444E+002	 0,00000000000000E+000	1,66262183883503E+002
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-1,02269090721027E+001	-4,20390566454479E+001	4,51564240251385E+001	 1,02444741281857E+002	-7,92537088094264E+001	1,02547247636776E+002	 1,20986985844778E+002	 0,00000000000000E+000	1,67388119101521E+002
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-6,26313979668769E+000	-4,25451206067452E+001	4,90154612472006E+001	 1,01243153546608E+002	-8,16818174470434E+001	1,01326667494299E+002	 1,35064405975366E+002	 0,00000000000000E+000	1,68520485374394E+002
