    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-5,29100184913059E+001	-5,29100184913059E+001	3,89848003837034E+001	-1,23671326727083E+002	-1,23671326727083E+002	9,56483455576610E+001	 2,85398393663766E+001	-1,57347931387006E+002	2,85398393663766E+001
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-4,27778276309338E+001	-4,27778276309338E+001	3,74503156609274E+001	-1,23264686121060E+002	-1,23264686121060E+002	8,54043205463121E+001	-1,78817780710511E+001	-1,59485756366087E+002	0,00000000000000E+000
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-3,08144402658334E+001	-4,01567889156480E+001	3,57511829795831E+001	-1,18421654919599E+002	-1,18421654919599E+002	8,12989311802042E+001	-6,33757903699005E+001	-1,62951796219039E+002	0,00000000000000E+000
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-1,76302309180332E+001	-4,14982007559924E+001	4,01085665993626E+001	-1,10407098752452E+002	-1,10407098752452E+002	7,74527807091294E+001	-1,06329305708445E+002	-1,68315206385771E+002	0,00000000000000E+000
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-6,01150795664546E+001	-6,01150795664546E+001	3,93919899338932E+001	 1,18280385471828E+002	-9,89746149603381E+001	1,18280385471828E+002	-7,35955359791478E+001	-7,35955359791478E+001	1,60776974325916E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-5,30394336916834E+001	-5,30394336916834E+001	3,81204325987477E+001	 1,24887820095806E+002	-9,58139226326717E+001	1,24887820095806E+002	-2,77173248560861E+001	-2,77173248560861E+001	1,57060679655425E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-4,27084107117470E+001	-4,27084107117470E+001	3,66387088501262E+001	 1,24069917909684E+002	-8,57014427844481E+001	1,24069917909684E+002	 1,91000974286348E+001	 0,00000000000000E+000	1,59044331286611E+002
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-3,00316178174026E+001	-4,01641015223970E+001	3,49735305653735E+001	 1,17786113560388E+002	-8,11723848645340E+001	1,17786113560388E+002	 6,46737485834864E+001	 0,00000000000000E+000	1,62407431892300E+002
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-1,59186621994076E+001	-4,15058276113441E+001	3,97136455919448E+001	 1,07995841694840E+002	-7,76658174548659E+001	1,07995841694840E+002	 1,07044166028639E+002	 0,00000000000000E+000	1,66262183883502E+002
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-1,68819330642147E+001	-4,15120865427802E+001	4,09017038929366E+001	-1,08898270164973E+002	-1,08898270164973E+002	7,85398776498060E+001	-1,06329305708445E+002	-1,68315206385771E+002	0,00000000000000E+000
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-1,07946280138025E+001	-4,20321753500855E+001	4,55939766530369E+001	-1,03233592651134E+002	-1,03233592651134E+002	7,92334119574796E+001	-1,20856310450253E+002	-1,69463992822479E+002	0,00000000000000E+000
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-5,77048507054112E+000	-4,25384346962587E+001	4,94429544003687E+001	-9,97700527749494E+001	-9,97700527749494E+001	8,18123414910688E+001	-1,34838291115559E+002	-1,70342895977704E+002	0,00000000000000E+000
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-6,76089986002656E-001	-4,30305894891809E+001	5,25703970441038E+001	-9,60846412653812E+001	-9,60846412653812E+001	8,20272438596854E+001	-1,48289252181280E+002	-1,70016652759444E+002	0,00000000000000E+000
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	 5,62197148824088E+000	-4,35083646367335E+001	5,67733040469499E+001	-8,97543488513913E+001	-8,97543488513913E+001	8,50248742117465E+001	-1,61121492627447E+002	-1,74341870621914E+002	0,00000000000000E+000
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-1,57602023746031E+001	-4,15192134043729E+001	4,04418044635754E+001	 1,07686535322118E+002	-7,85081729144841E+001	1,07686535322118E+002	 1,07044166028639E+002	 0,00000000000000E+000	1,66262183883503E+002
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-9,90516859863327E+000	-4,20390566454479E+001	4,51564240251385E+001	 1,02547247636776E+002	-7,92537088094264E+001	1,02547247636776E+002	 1,21379972864902E+002	 0,00000000000000E+000	1,67388119101521E+002
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-5,91434932250037E+000	-4,25451206067452E+001	4,90154612472006E+001	 1,01326667494299E+002	-8,16818174470434E+001	1,01326667494299E+002	 1,35470573607135E+002	 0,00000000000000E+000	1,68520485374394E+002
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-1,01969285090553E+000	-4,30371184543114E+001	5,25774762967114E+001	 9,81206350628455E+001	-8,18417673706548E+001	9,81206350628455E+001	 1,49160295281805E+002	 0,00000000000000E+000	1,69106573307099E+002
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	 7,54685251145015E+000	-4,35147633541929E+001	5,67605983120988E+001	 8,70249905105768E+001	-8,46555387360919E+001	8,70249905105768E+001	 1,62045930847244E+002	 0,00000000000000E+000	1,74026869363399E+002
