    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-1,42295025660021E+002	-1,42295025660021E+002	3,97136455919448E+001	-5,18689625636400E+001	-7,76658174548659E+001	1,07995841694840E+002	-2,22144947153983E+002	-2,22144999199246E+002	1,66262183883502E+002
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-1,43214191969324E+002	-1,43214191969324E+002	4,09017038929366E+001	 4,94224070983926E+001	-1,08898270164973E+002	7,85398776498060E+001	 2,24101568121483E+002	-1,68315206385771E+002	2,24101568121483E+002
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-1,44048760236967E+002	-1,44048760236967E+002	4,55939766530369E+001	 3,88252856109068E+001	-1,03233592651134E+002	7,92334119574796E+001	 2,30169189333849E+002	-1,69463992822479E+002	2,30169189333849E+002
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-1,44870912852737E+002	-1,44870912852737E+002	4,94429544003687E+001	 2,80797838841250E+001	-9,97700527749494E+001	8,18123414910688E+001	 2,34771133677013E+002	-1,70342895977704E+002	2,34771133677013E+002
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-1,45679348009468E+002	-1,45679348009468E+002	5,25703970441038E+001	 1,71952309240050E+001	-9,63266606506662E+001	8,20272438596854E+001	 2,37886544753670E+002	-1,70016652759444E+002	2,37886544753670E+002
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	-1,46472763899994E+002	-1,46472763899994E+002	5,67733040469499E+001	 6,18095573650442E+000	-9,13969576988314E+001	8,50248742117465E+001	 2,39494470589776E+002	-1,74341870621914E+002	2,39495531794659E+002
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-1,42388408042952E+002	-1,42388408042952E+002	4,04418044635754E+001	-5,16647931365620E+001	-7,85081729144841E+001	1,07686535322118E+002	-2,22144947153983E+002	-2,22144999199246E+002	1,66262183883503E+002
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-1,43092654922536E+002	-1,43092654922536E+002	4,51564240251385E+001	-4,13331507661478E+001	-7,92537088094264E+001	1,02547247636776E+002	-2,28541256703032E+002	-2,28545333944416E+002	1,67388119101521E+002
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-1,43836615713578E+002	-1,43836615713578E+002	4,90154612472006E+001	-3,07380568071484E+001	-8,16818174470434E+001	1,01326667494299E+002	-2,33498329130423E+002	-2,33508098550799E+002	1,68520485374394E+002
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-1,44584995968553E+002	-1,44584995968553E+002	5,25774762967114E+001	-1,99626488639118E+001	-8,18417673706548E+001	9,81206350628455E+001	-2,36987915930697E+002	-2,37006031678832E+002	1,69106573307099E+002
