    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-3,00602555699591E+001	-3,00602555699591E+001	3,40905217559205E-005	-2,95137435077128E+000	-2,95137435077128E+000	0,00000000000000E+000	 1,13735301551777E+001	 0,00000000000000E+000	1,13735301551777E+001
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-3,00543947000259E+001	-3,00543947000259E+001	3,44807764367478E-005	 3,25827462983094E+000	 0,00000000000000E+000	3,25827462983094E+000	-1,13829167797100E+001	-1,13829167797100E+001	0,00000000000000E+000
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-3,14648988782702E+001	-3,14648988782702E+001	3,54441734285379E-005	 5,08316248379625E+000	 0,00000000000000E+000	5,08316248379625E+000	-1,03178652823850E+001	-1,03178652823850E+001	0,00000000000000E+000
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-3,28153934962627E+001	-3,28153934962627E+001	3,61659400958066E-005	 5,95130308280020E+000	 0,00000000000000E+000	5,95130308280020E+000	-8,92281371456990E+000	-8,92281371456990E+000	0,00000000000000E+000
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-3,41057554586462E+001	-3,41057554586462E+001	3,66456125869237E-005	 5,99054875947803E+000	 0,00000000000000E+000	5,99054875947803E+000	-7,41056345730327E+000	-7,41056345730327E+000	0,00000000000000E+000
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-3,53358616700635E+001	-3,53358616700635E+001	3,68827270502588E-005	 5,32875184646500E+000	 0,00000000000000E+000	5,32875184646500E+000	-5,98413678192449E+000	-5,98413678192449E+000	0,00000000000000E+000
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-3,00630316501000E+001	-3,00630316501000E+001	3,41123923018648E-005	-3,24533973691014E+000	-3,24533973691014E+000	0,00000000000000E+000	 1,13735301551780E+001	 0,00000000000000E+000	1,13735301551780E+001
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-3,14734509494279E+001	-3,14734509494279E+001	3,50314672336160E-005	-5,07469187088245E+000	-5,07469187088245E+000	0,00000000000000E+000	 1,03110778518002E+001	 0,00000000000000E+000	1,03110778518002E+001
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-3,28238453183923E+001	-3,28238453183923E+001	3,57107875676625E-005	-5,94504283134479E+000	-5,94504283134479E+000	0,00000000000000E+000	 8,91786938782102E+000	 0,00000000000000E+000	8,91786938782102E+000
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-3,41141013556232E+001	-3,41141013556232E+001	3,61493868813103E-005	-5,98560073791699E+000	-5,98560073791699E+000	0,00000000000000E+000	 7,40698167987429E+000	 0,00000000000000E+000	7,40698167987429E+000
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-3,53441056597503E+001	-3,53441056597503E+001	3,63462987518651E-005	-5,32557371021888E+000	-5,32557371021888E+000	0,00000000000000E+000	 5,98160908355180E+000	 0,00000000000000E+000	5,98160908355180E+000
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-3,53367166604393E+001	-3,53367166604393E+001	3,69299588230530E-005	 5,53770276510607E+000	 0,00000000000000E+000	5,53770276510607E+000	-5,98413678192453E+000	-5,98413678192453E+000	0,00000000000000E+000
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-3,70740525707471E+001	-3,70740525707471E+001	3,69077706735802E-005	 4,25445084452677E+000	 0,00000000000000E+000	4,25445084452677E+000	-4,14810215050683E+000	-4,14810215050683E+000	0,00000000000000E+000
