    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8803	           4	 7,50000000000000E+000	-2,37500000000000E+000	-9,55065239637738E+001	-9,65145282900311E+001	9,70668228489696E+000	 1,92540461065428E+002	-1,31898546972565E+001	1,92540461065428E+002	 1,51951197508038E+002	-1,61072122893393E+002	2,07027570314734E+002
                      	 8804	           5	 7,50000000000000E+000	-2,50000000000000E+000	-1,01683814602610E+002	-1,02814193151703E+002	1,41919310635203E+001	 2,11339508392129E+002	-2,45273856995393E+001	2,11339508392129E+002	 1,77172325839108E+002	-1,55115308525646E+002	2,07278390102339E+002
           Plate\_1\_5	   80	           1	-7,50000000000000E+000	-2,50000000000000E+000	-9,95828467361894E+001	-1,00746102768321E+002	1,55435445584022E+001	 2,90581982044624E+002	-6,11579908256734E+001	2,90581982044624E+002	-1,77757719144990E+002	-2,08241439009808E+002	1,55278281720243E+002
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	-1,09885037098230E+002	-1,11290316438451E+002	2,29201412442731E+001	 2,57077702391878E+002	-6,85931679756814E+001	2,57077702391878E+002	-1,09310192041445E+002	-2,02058387357358E+002	1,40695046038219E+002
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	-1,19730656265147E+002	-1,21362821018685E+002	2,90086937631342E+001	 2,24112367700606E+002	-8,01740189880030E+001	2,24311109268910E+002	-4,91875153960804E+001	-1,89241376362782E+002	1,22600378581231E+002
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	-1,28769491882405E+002	-1,30641674367692E+002	3,38211921280930E+001	 1,92434771069700E+002	-9,64477853178167E+001	1,94746887379711E+002	 2,87914269068078E+000	-1,71062098356399E+002	1,02724669648978E+002
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	-1,36651331595469E+002	-1,38758212967456E+002	3,73696263522570E+001	 1,62793705598052E+002	-1,14959449388473E+002	1,68664893815168E+002	 4,72130263627894E+001	-1,60787721839846E+002	9,78521009320465E+001
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	-1,01178258484196E+002	-1,02308848881437E+002	1,44891554236714E+001	-2,86915230651709E+002	-2,86915230651709E+002	6,11634565013077E+001	 1,77172325839108E+002	-1,55115308525646E+002	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	-1,11154776233201E+002	-1,12528461361926E+002	2,20449658375132E+001	-2,54093315341087E+002	-2,54093315341087E+002	6,85894002673495E+001	 1,09507050820678E+002	-1,40409856759407E+002	2,01615454360809E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	-1,21214272512440E+002	-1,22827471155351E+002	2,80849363706563E+001	-2,20664590864715E+002	-2,20818085124468E+002	8,05596188309315E+001	 5,02065534066695E+001	-1,22184539148409E+002	1,89316494695250E+002
