    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-1,85102802372707E+002	-1,85102802372707E+002	4,55939766530369E+001	-2,83763037510786E+001	-1,03233592651134E+002	7,92334119574796E+001	 1,51032284119488E+002	-1,69463992822479E+002	2,30169189333849E+002
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-1,88819299605106E+002	-1,88819299605106E+002	4,94429544003687E+001	-4,50320012864432E+001	-9,97700527749494E+001	8,18123414910688E+001	 1,45995197520783E+002	-1,70342895977704E+002	2,34771133677013E+002
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-1,92929434731441E+002	-1,92929434731441E+002	5,25703970441038E+001	-6,26831746368344E+001	-9,63266606506662E+001	8,20272438596854E+001	 1,38600020339358E+002	-1,70016652759444E+002	2,37886544753670E+002
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	-1,97438889660245E+002	-1,97438889660245E+002	5,67733040469499E+001	-8,13357151218495E+001	-9,13969576988314E+001	8,50248742117465E+001	 1,28712227092999E+002	-1,74341870621914E+002	2,39495531794659E+002
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	-1,82683094003945E+002	-1,82683094003945E+002	4,04418044635754E+001	 1,49956370804380E+001	-7,85081729144841E+001	1,07686535322118E+002	-1,48085933923097E+002	-2,22144999199246E+002	1,66262183883503E+002
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	-1,85191914827200E+002	-1,85191914827200E+002	4,51564240251385E+001	 2,89269436820779E+001	-7,92537088094264E+001	1,02547247636776E+002	-1,45076810874192E+002	-2,28545333944416E+002	1,67388119101521E+002
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	-1,88156791862566E+002	-1,88156791862566E+002	4,90154612472006E+001	 4,39934919874031E+001	-8,16818174470434E+001	1,01326667494299E+002	-1,40080531616398E+002	-2,33508098550799E+002	1,68520485374394E+002
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-1,91715747690594E+002	-1,91715747690594E+002	5,25774762967114E+001	 6,04829710202699E+001	-8,18417673706548E+001	9,81206350628455E+001	-1,32910622010564E+002	-2,37006031678832E+002	1,69106573307099E+002
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	-1,96006804891835E+002	-1,96006804891835E+002	5,67605983120988E+001	 7,86830698045342E+001	-8,46555387360919E+001	8,84812316130301E+001	-1,23367841487440E+002	-2,39013132061417E+002	1,74026869363399E+002
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	-1,97339649560880E+002	-1,97339649560880E+002	5,67049493887807E+001	-8,11281153340302E+001	-8,97453832924310E+001	8,49817955254087E+001	 1,28712227092999E+002	-1,74341870621914E+002	2,39495531794659E+002
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	-2,00942072412580E+002	-2,00942072412580E+002	5,98076859906394E+001	-9,63196330938283E+001	-9,63196330938283E+001	8,45244902856059E+001	 1,18736836729263E+002	-1,79275946347222E+002	2,39681988497140E+002
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	-2,04674771401390E+002	-2,04674771401390E+002	6,33207182585851E+001	-1,11899093570580E+002	-1,11899093570580E+002	8,71957120323830E+001	 1,07025228233322E+002	-1,84471050815245E+002	2,38835409805367E+002
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	-2,08545851916039E+002	-2,08545851916039E+002	6,73367310876735E+001	-1,27878333808795E+002	-1,27878333808795E+002	8,80504322050792E+001	 9,35387383190473E+001	-1,89622621024517E+002	2,36947327414912E+002
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	-2,12563419345255E+002	-2,12563419345255E+002	7,08362633970255E+001	-1,44269190852986E+002	-1,44269190852986E+002	8,91925040988587E+001	 7,82377170165038E+001	-1,94566135252983E+002	2,34005250954157E+002
