    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
 Element 14-22 (Plate)	   83	           2	-7,50000000000000E+000	-2,75000000000000E+000	 2,29201412442731E+001	-3,14648988782702E+001	2,29201412442731E+001	 3,96790240970743E+001	 0,00000000000000E+000	4,59617816029652E+001	-2,01892908723230E+002	-2,01892908723230E+002	0,00000000000000E+000
                (ERSS)	   82	           3	-7,50000000000000E+000	-3,00000000000000E+000	 2,90086937631342E+001	-3,28153934962627E+001	2,90086937631342E+001	 6,45724137027192E+001	 0,00000000000000E+000	6,53270737772695E+001	-1,88704497584960E+002	-1,88704497584960E+002	0,00000000000000E+000
                      	   81	           4	-7,50000000000000E+000	-3,25000000000000E+000	 3,38211921280930E+001	-3,41057554586462E+001	3,38211921280930E+001	 8,35357366205574E+001	 0,00000000000000E+000	8,35357366205574E+001	-1,70093146616426E+002	-1,70093146616426E+002	0,00000000000000E+000
                      	  188	           5	-7,50000000000000E+000	-3,50000000000000E+000	 3,73696263522570E+001	-3,53358616700635E+001	3,73696263522570E+001	 9,46283217361603E+001	 0,00000000000000E+000	9,46283217361603E+001	-1,47621877052753E+002	-1,47621877052753E+002	0,00000000000000E+000
           Plate\_2\_5	 8804	           1	 7,50000000000000E+000	-2,50000000000000E+000	 1,44891554236714E+001	-3,00630316501000E+001	1,44891554236714E+001	-8,16676327988967E+000	-2,36230863937624E+001	0,00000000000000E+000	 2,07278390102339E+002	 0,00000000000000E+000	2,07278390102339E+002
 Element 17-25 (Plate)	 8642	           2	 7,50000000000000E+000	-2,75000000000000E+000	 2,20449658375132E+001	-3,14734509494279E+001	2,20449658375132E+001	-3,68311079966628E+001	-4,55737917740492E+001	0,00000000000000E+000	 2,01597217901684E+002	 0,00000000000000E+000	2,01597217901684E+002
                (ERSS)	 8643	           3	 7,50000000000000E+000	-3,00000000000000E+000	 2,80849363706563E+001	-3,28238453183923E+001	2,80849363706563E+001	-6,14884288160441E+001	-6,58585083801310E+001	0,00000000000000E+000	 1,89178074343292E+002	 0,00000000000000E+000	1,89178074343292E+002
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	 3,28155140692901E+001	-3,41141013556232E+001	3,28155140692901E+001	-8,09808997009244E+001	-8,09808997009244E+001	0,00000000000000E+000	 1,71276070850541E+002	 0,00000000000000E+000	1,71276070850541E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	 3,64431459796041E+001	-3,53441056597503E+001	3,64431459796041E+001	-9,41506946141942E+001	-9,41506946141942E+001	0,00000000000000E+000	 1,49232736410842E+002	 0,00000000000000E+000	1,49232736410842E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	 4,03317928497430E+001	-3,53367166604393E+001	4,03317928497430E+001	 9,98717839726846E+001	 0,00000000000000E+000	9,98717839726846E+001	-1,47621877052753E+002	-1,47621877052753E+002	0,00000000000000E+000
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	 3,89848003837034E+001	-3,70740525707471E+001	3,89848003837034E+001	 9,53998314292446E+001	 0,00000000000000E+000	9,53998314292446E+001	-1,10625136281076E+002	-1,10625136281076E+002	0,00000000000000E+000
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	 3,74503156609274E+001	-3,86814080881914E+001	3,74503156609274E+001	 8,21496363660157E+001	 0,00000000000000E+000	8,21496363660157E+001	-7,72491105648713E+001	-7,72491105648713E+001	0,00000000000000E+000
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	 3,57511829795831E+001	-4,01567889156480E+001	3,57511829795831E+001	 6,37680787754631E+001	 0,00000000000000E+000	6,37680787754631E+001	-4,96397451360087E+001	-4,96397451360087E+001	0,00000000000000E+000
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	 3,39102466378391E+001	-4,14982007559924E+001	3,39102466378391E+001	 4,39020386500519E+001	 0,00000000000000E+000	4,39020386500519E+001	-2,95281022392889E+001	-2,95281022392889E+001	0,00000000000000E+000
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	 3,93919899338932E+001	-3,53451787678518E+001	3,93919899338932E+001	-9,89746149603381E+001	-9,89746149603381E+001	0,00000000000000E+000	 1,49232736410842E+002	 0,00000000000000E+000	1,49232736410842E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	 3,81204325987477E+001	-3,70819408646495E+001	3,81204325987477E+001	-9,57446346697638E+001	-9,57446346697638E+001	0,00000000000000E+000	 1,12310656837417E+002	 0,00000000000000E+000	1,12310656837417E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	 3,66387088501262E+001	-3,86888605281650E+001	3,66387088501262E+001	-8,30297484500541E+001	-8,30297484500541E+001	0,00000000000000E+000	 7,86941999598308E+001	 0,00000000000000E+000	7,86941999598308E+001
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	 3,49735305653735E+001	-4,01641015223970E+001	3,49735305653735E+001	-6,46902204614509E+001	-6,46902204614509E+001	0,00000000000000E+000	 5,07266558099547E+001	 0,00000000000000E+000	5,07266558099547E+001
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	 3,31516096218343E+001	-4,15058276113441E+001	3,31516096218343E+001	-4,45863148641958E+001	-4,45863148641958E+001	0,00000000000000E+000	 3,03120070759367E+001	 0,00000000000000E+000	3,03120070759367E+001
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	 3,39299226502527E+001	-4,15120865427802E+001	3,39299226502527E+001	 4,55751670829086E+001	 0,00000000000000E+000	4,55751670829086E+001	-2,95281022392889E+001	-2,95281022392889E+001	0,00000000000000E+000
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	 3,31706695468707E+001	-4,20321753500855E+001	3,31706695468707E+001	 3,97427667663965E+001	 0,00000000000000E+000	3,97427667663965E+001	-2,36680284932723E+001	-2,36680284932723E+001	0,00000000000000E+000
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	 3,24164454886882E+001	-4,25384346962587E+001	3,24164454886882E+001	 3,43009582594846E+001	 0,00000000000000E+000	3,43009582594846E+001	-1,85813294747898E+001	-1,85813294747898E+001	0,00000000000000E+000
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	 3,16675735059139E+001	-4,30305894891809E+001	3,16675735059139E+001	 2,92662587150303E+001	 0,00000000000000E+000	2,92662587150303E+001	-1,42144358602396E+001	-1,42144358602396E+001	0,00000000000000E+000
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	 3,09243766287566E+001	-4,35083646367335E+001	3,09243766287566E+001	 2,46551852858910E+001	 0,00000000000000E+000	2,46551852858910E+001	-1,05133217730097E+001	-1,05133217730097E+001	0,00000000000000E+000
           Plate\_2\_7	10469	           1	 7,50000000000000E+000	-5,00000000000000E+000	 3,31856952370481E+001	-4,15192134043729E+001	3,31856952370481E+001	-4,63290467989741E+001	-4,63290467989741E+001	0,00000000000000E+000	 3,03120070759367E+001	 0,00000000000000E+000	3,03120070759367E+001
 Element 25-33 (Plate)	10470	           2	 7,50000000000000E+000	-5,13750000000000E+000	 3,24483689287586E+001	-4,20390566454479E+001	3,24483689287586E+001	-4,04427461558029E+001	-4,04427461558029E+001	0,00000000000000E+000	 2,43519557993462E+001	 0,00000000000000E+000	2,43519557993462E+001
                (ERSS)	10471	           3	 7,50000000000000E+000	-5,27500000000000E+000	 3,17150260800276E+001	-4,25451206067452E+001	3,17150260800276E+001	-3,49435335736530E+001	-3,49435335736530E+001	0,00000000000000E+000	 1,91729077989891E+001	 0,00000000000000E+000	1,91729077989891E+001
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	 3,09860596188156E+001	-4,30371184543114E+001	3,09860596188156E+001	-2,98484975283881E+001	-2,98484975283881E+001	0,00000000000000E+000	 1,47217484467157E+001	 0,00000000000000E+000	1,47217484467157E+001
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	 3,02618624730831E+001	-4,35147633541929E+001	3,02618624730831E+001	-2,51747264958717E+001	-2,51747264958717E+001	0,00000000000000E+000	 1,09448852665031E+001	 0,00000000000000E+000	1,09448852665031E+001
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	 3,09242509517787E+001	-4,35085738601999E+001	3,09242509517787E+001	 2,46692437687855E+001	 0,00000000000000E+000	2,46692437687855E+001	-1,05133217730097E+001	-1,05133217730097E+001	0,00000000000000E+000
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	 3,03206086417618E+001	-4,38891056849801E+001	3,03206086417618E+001	 2,12867800857408E+001	 0,00000000000000E+000	2,12867800857408E+001	-7,93178897010522E+000	-7,93178897010522E+000	0,00000000000000E+000
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	 2,97211072853400E+001	-4,42604151686202E+001	2,97211072853400E+001	 1,82173732335711E+001	 0,00000000000000E+000	1,82173732335711E+001	-5,71217035863924E+000	-5,71217035863924E+000	0,00000000000000E+000
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	 2,91261949713187E+001	-4,46222313479922E+001	2,91261949713187E+001	 1,54600083827654E+001	 0,00000000000000E+000	1,54600083827654E+001	-3,82023742128147E+000	-3,82023742128147E+000	0,00000000000000E+000
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	 2,85363197885031E+001	-4,49742832599681E+001	2,85363197885031E+001	 1,30136707038123E+001	 0,00000000000000E+000	1,30136707038123E+001	-2,22190367381725E+000	-2,22190367381725E+000	0,00000000000000E+000
           Plate\_2\_8	10488	           1	 7,50000000000000E+000	-5,55000000000000E+000	 3,02618151255072E+001	-4,35149605434406E+001	3,02618151255072E+001	-2,51899294456319E+001	-2,51899294456319E+001	0,00000000000000E+000	 1,09448852665031E+001	 0,00000000000000E+000	1,09448852665031E+001
 Element 30-52 (Plate)	10489	           2	 7,50000000000000E+000	-5,66250000000000E+000	 2,96732370687544E+001	-4,38953730828765E+001	2,96732370687544E+001	-2,17581913034824E+001	-2,17581913034824E+001	0,00000000000000E+000	 8,30757854211745E+000	 0,00000000000000E+000	8,30757854211745E+000
                (ERSS)	10490	           3	 7,50000000000000E+000	-5,77500000000000E+000	 2,90883774681057E+001	-4,42665597223586E+001	2,90883774681057E+001	-1,86416616990303E+001	-1,86416616990303E+001	0,00000000000000E+000	 6,03758804101462E+000	 0,00000000000000E+000	6,03758804101462E+000
                      	10491	           4	 7,50000000000000E+000	-5,88750000000000E+000	 2,85076929826104E+001	-4,46282504360401E+001	2,85076929826104E+001	-1,58394124400638E+001	-1,58394124400638E+001	0,00000000000000E+000	 4,10045613309068E+000	 0,00000000000000E+000	4,10045613309068E+000
